Rpeaks,type,sampling_rate
23,+,23
88,N,65
442,N,354
789,N,347
1155,N,366
1493,N,338
1821,N,328
2157,N,336
2517,N,360
2889,N,372
3238,N,349
3593,N,355
3924,N,331
4105,V,181
4197,x,92
4602,N,405
4971,N,369
5350,N,379
5715,N,365
6115,N,400
6479,N,364
6886,N,407
7287,N,401
7687,N,400
8056,N,369
8432,N,376
8804,N,372
9196,N,392
9586,N,390
9924,~,338
9963,N,39
10325,N,362
10519,~,194
10696,N,177
10876,V,180
11000,x,124
11453,N,453
11819,N,366
12174,N,355
12509,N,335
12856,N,347
13236,N,380
13644,N,408
14073,N,429
14467,N,394
14847,N,380
15222,N,375
15620,N,398
16018,N,398
16403,N,385
16788,N,385
17161,N,373
17534,N,373
17932,N,398
18327,N,395
18685,N,358
19045,N,360
19416,N,371
19802,N,386
20193,N,391
20586,N,393
20942,N,356
21308,N,366
21676,N,368
22054,N,378
22427,N,373
22794,N,367
23189,N,395
23610,N,421
24037,N,427
24454,N,417
24850,N,396
25232,N,382
25617,N,385
25991,N,374
26386,N,395
26787,N,401
27181,N,394
27545,N,364
27926,N,381
28313,N,387
28717,N,404
29100,N,383
29455,N,355
29796,N,341
30150,N,354
30545,N,395
30976,N,431
31420,N,444
31855,N,435
32262,N,407
32698,N,436
33121,N,423
33513,N,392
33889,N,376
34259,N,370
34625,N,366
35018,N,393
35414,N,396
35764,N,350
36115,N,351
36473,N,358
36849,N,376
37297,N,448
37781,N,484
38198,N,417
38590,N,392
38991,N,401
39388,N,397
39780,N,392
40170,N,390
40538,N,368
40915,N,377
41308,N,393
41701,N,393
42092,N,391
42468,N,376
42839,N,371
43221,N,382
43618,N,397
44008,N,390
44391,N,383
44777,N,386
45147,N,370
45518,N,371
45906,N,388
46305,N,399
46506,~,201
46660,N,154
47006,N,346
47352,N,346
47727,N,375
48194,N,467
48638,N,444
49009,N,371
49153,~,144
49393,N,240
49480,~,87
49781,N,301
50177,N,396
50545,N,368
50914,N,369
51267,N,353
51623,N,356
52009,N,386
52396,N,387
52775,N,379
53149,N,374
53501,N,352
53865,N,364
54260,N,395
54662,N,402
55039,N,377
55411,N,372
55782,N,371
56173,N,391
56565,N,392
56968,N,403
57329,N,361
57712,N,383
58080,N,368
58484,N,404
58867,N,383
59289,N,422
59649,N,360
60002,N,353
60370,N,368
60787,N,417
61180,N,393
61581,N,401
61953,N,372
62322,N,369
62698,N,376
63108,N,410
63491,N,383
63872,N,381
64247,N,375
64615,N,368
64995,N,380
65393,N,398
65792,N,399
66159,N,367
66541,N,382
66912,N,371
67296,N,384
67685,N,389
68075,N,390
68451,N,376
68799,N,348
69173,N,374
69528,N,355
69921,N,393
70276,N,355
70727,N,451
71158,N,431
71628,N,470
72057,N,429
72458,N,401
72839,N,381
73220,N,381
73604,N,384
74004,N,400
74393,N,389
74779,N,386
75132,N,353
75511,N,379
75893,N,382
76309,N,416
76703,N,394
77062,N,359
77435,N,373
77829,N,394
78197,N,368
78330,~,133
78592,N,262
78977,N,385
79338,N,361
79724,N,386
80112,N,388
80492,N,380
80860,N,368
81217,N,357
81557,N,340
81901,N,344
82281,N,380
82675,N,394
83134,N,459
83545,N,411
83824,V,279
84360,N,536
84809,N,449
85225,N,416
85583,N,358
85966,N,383
86317,N,351
86710,N,393
87078,N,368
87466,N,388
87837,N,371
88216,N,379
88598,N,382
88987,N,389
89411,N,424
89517,~,106
89812,N,295
90197,N,385
90563,N,366
90960,N,397
91358,N,398
91751,N,393
92122,N,371
92493,N,371
92866,N,373
93264,N,398
93626,N,362
94006,N,380
94366,N,360
94731,N,365
95073,N,342
95449,N,376
95873,N,424
96330,N,457
96765,N,435
97144,N,379
97198,|,54
97562,N,364
97981,N,419
98352,N,371
98705,N,353
99067,N,362
99443,N,376
99837,N,394
100213,N,376
100582,N,369
100944,N,362
101307,N,363
101669,N,362
102038,N,369
102402,N,364
102775,N,373
103219,N,444
103622,N,403
104043,N,421
104459,N,416
104843,N,384
105227,N,384
105602,N,375
105983,N,381
106382,N,399
106797,N,415
107176,N,379
107330,V,154
107593,N,263
107948,N,355
108340,N,392
108737,N,397
109143,N,406
109534,N,391
109890,N,356
110301,N,411
110713,N,412
111101,N,388
111501,N,400
111863,N,362
112247,N,384
112653,N,406
113049,N,396
113436,N,387
113820,N,384
114200,N,380
114572,N,372
114991,N,419
115379,N,388
115770,N,391
116143,N,373
116524,N,381
116894,N,370
117314,N,420
117581,|,267
117713,N,132
118096,N,383
118478,N,382
118872,N,394
119262,N,390
119678,N,416
120058,N,380
120427,N,369
120815,N,388
121217,N,402
121398,|,181
121617,N,219
122010,N,393
122401,N,391
122743,N,342
123110,N,367
123491,N,381
123889,N,398
124265,N,376
124640,N,375
124999,N,359
125381,N,382
125766,N,385
126170,N,404
126542,N,372
126926,N,384
127308,N,382
127684,N,376
128085,N,401
128499,N,414
128859,N,360
129253,N,394
129627,N,374
130018,N,391
130421,N,403
130809,N,388
131189,N,380
131556,N,367
131950,N,394
132342,N,392
132736,N,394
133099,N,363
133456,N,357
133796,N,340
134161,N,365
134542,N,381
134927,N,385
135408,N,481
135847,N,439
136258,N,411
136659,N,401
137075,N,416
137448,N,373
137830,N,382
138216,N,386
138599,N,383
139014,N,415
139400,N,386
139773,N,373
140149,N,376
140538,N,389
140940,N,402
141329,N,389
141718,N,389
142094,N,376
142469,N,375
142884,N,415
143288,N,404
143692,N,404
144080,N,388
144465,N,385
144847,N,382
145268,N,421
145670,N,402
146060,N,390
146459,N,399
146841,N,382
147252,N,411
147663,N,411
148070,N,407
148451,N,381
148842,N,391
149237,N,395
149641,N,404
150057,N,416
150445,N,388
150825,N,380
151220,N,395
151612,N,392
152019,N,407
152405,N,386
152788,N,383
153143,N,355
153537,N,394
153921,N,384
154306,N,385
154673,N,367
155043,N,370
155415,N,372
155798,N,383
156213,N,415
156583,N,370
156945,N,362
157319,N,374
157701,N,382
158079,N,378
158473,N,394
158842,N,369
159200,N,358
159558,N,358
159958,N,400
160448,N,490
160892,N,444
161290,N,398
161684,N,394
162001,~,317
162064,N,63
162463,N,399
162838,N,375
163040,~,202
163229,N,189
163582,N,353
163942,N,360
164329,N,387
164722,N,393
165111,N,389
165493,N,382
165870,N,377
166247,N,377
166630,N,383
167033,N,403
167119,|,86
167420,N,301
167784,N,364
168145,N,361
168523,N,378
168905,N,382
169304,N,399
169686,N,382
170047,N,361
170425,N,378
170801,N,376
171188,N,387
171581,N,393
171955,N,374
172326,N,371
172683,N,357
173070,N,387
173452,N,382
173824,N,372
174185,N,361
174536,N,351
174874,N,338
175254,N,380
175679,N,425
176132,N,453
176528,N,396
176909,N,381
177286,N,377
177682,N,396
178074,N,392
178437,N,363
178786,N,349
179155,N,369
179500,N,345
179844,N,344
179895,~,51
180041,V,146
180184,x,143
180621,F,437
180712,~,91
181027,N,315
181400,N,373
181790,N,390
182158,N,368
182556,N,398
182920,N,364
183273,N,353
183648,N,375
184038,N,390
184418,N,380
184796,N,378
185164,N,368
185508,N,344
185873,N,365
186356,N,483
186808,N,452
187213,N,405
187601,N,388
187978,N,377
188368,N,390
188775,N,407
189148,N,373
189502,N,354
189876,N,374
190235,N,359
190619,N,384
191003,N,384
191362,N,359
191697,N,335
192059,N,362
192429,N,370
192881,N,452
193342,N,461
193553,V,211
193696,x,143
194133,N,437
194553,N,420
194944,N,391
195319,N,375
195696,N,377
196072,N,376
196433,N,361
196803,N,370
197180,N,377
197550,N,370
197906,N,356
198371,N,465
198826,N,455
199241,N,415
199660,N,419
200045,N,385
200415,N,370
200792,N,377
201187,N,395
201574,N,387
201971,N,397
202342,N,371
202704,N,362
203074,N,370
203467,N,393
203835,N,368
204214,N,379
204608,N,394
205063,N,455
205495,N,432
205731,V,236
206305,N,574
206704,N,399
207065,N,361
207434,N,369
207811,N,377
208205,N,394
208574,N,369
208929,N,355
209293,N,364
209649,N,356
210016,N,367
210460,N,444
210887,N,427
211265,N,378
211640,N,375
212015,N,375
212404,N,389
212809,N,405
213190,N,381
213547,N,357
213941,N,394
214332,N,391
214710,N,378
215094,N,384
215469,N,375
215837,N,368
216215,N,378
216619,N,404
216994,N,375
217354,N,360
217728,N,374
218073,N,345
218440,N,367
218906,N,466
219385,N,479
219806,N,421
220207,N,401
220597,N,390
220989,N,392
221206,V,217
221307,x,101
221738,N,431
222085,N,347
222447,N,362
222805,N,358
223215,N,410
223664,N,449
224051,N,387
224436,N,385
224821,N,385
225226,N,405
225611,N,385
225999,N,388
226369,N,370
226742,N,373
227128,N,386
227530,N,402
227899,N,369
228274,N,375
228634,N,360
229005,N,371
229380,N,375
229755,N,375
230134,N,379
230481,N,347
230948,N,467
231371,N,423
231783,N,412
232181,N,398
232586,N,405
232964,N,378
233372,N,408
233748,N,376
234137,N,389
234516,N,379
234868,N,352
235230,N,362
235593,N,363
236000,N,407
236380,N,380
236750,N,370
237124,N,374
237487,N,363
237839,N,352
238302,N,463
238802,N,500
239205,N,403
239640,N,435
240024,N,384
240446,N,422
240857,N,411
241220,N,363
241587,N,367
241986,N,399
242385,N,399
242786,N,401
243162,N,376
243519,N,357
243881,N,362
244254,N,373
244655,N,401
245037,N,382
245427,N,390
245782,N,355
246151,N,369
246542,N,391
246948,N,406
247341,N,393
247732,N,391
248114,N,382
248503,N,389
248908,N,405
249312,N,404
249688,N,376
250054,N,366
250435,N,381
250822,N,387
251220,N,398
251606,N,386
251973,N,367
252321,N,348
252678,N,357
252926,~,248
253029,N,103
253419,N,390
253873,N,454
254180,~,307
254259,N,79
254623,N,364
255022,N,399
255412,N,390
255797,N,385
256157,N,360
256506,N,349
256842,N,336
257187,N,345
257615,N,428
257956,N,341
258301,N,345
258629,N,328
259090,N,461
259490,N,400
259930,N,440
260310,N,380
260665,N,355
261018,N,353
261386,N,368
261745,N,359
262114,N,369
262474,N,360
262958,N,484
263192,A,234
263670,N,478
264186,N,516
264555,N,369
264949,N,394
265315,N,366
265681,N,366
266082,N,401
266473,N,391
266848,N,375
267211,N,363
267557,N,346
267931,N,374
268510,N,579
268697,V,187
268976,N,279
269368,N,392
269782,N,414
270176,N,394
270574,N,398
270988,N,414
271373,N,385
271749,N,376
272129,N,380
272520,N,391
272906,N,386
273277,N,371
273633,N,356
273989,N,356
274451,N,462
274894,N,443
275301,N,407
275687,N,386
276052,N,365
276177,~,125
276430,N,253
276816,N,386
277186,N,370
277565,N,379
277905,N,340
278057,~,152
278289,N,232
278657,N,368
279048,N,391
279432,N,384
279793,N,361
280145,N,352
280500,N,355
280515,|,15
280944,N,429
281419,N,475
281865,N,446
282251,N,386
282633,N,382
283030,N,397
283437,N,407
283831,N,394
284221,N,390
284593,N,372
284955,N,362
285350,N,395
285740,N,390
286128,N,388
286496,N,368
286861,N,365
287229,N,368
287614,N,385
287995,N,381
288349,N,354
288741,N,392
289160,N,419
289564,N,404
289944,N,380
290324,N,380
290678,N,354
291025,N,347
291381,N,356
291731,N,350
292106,N,375
292485,N,379
292846,N,361
293071,~,225
293198,N,127
293555,N,357
293939,N,384
294300,N,361
294671,N,371
294799,~,128
295039,N,240
295391,N,352
295739,N,348
296125,N,386
296514,N,389
296901,N,387
297264,N,363
297628,N,364
297982,N,354
298355,N,373
298742,N,387
299164,N,422
299591,N,427
299992,N,401
300380,N,388
300782,N,402
301187,N,405
301222,~,35
301551,N,329
301855,~,304
301897,N,42
302305,N,408
302716,N,411
303115,N,399
303510,N,395
303886,N,376
304251,N,365
304631,N,380
305012,N,381
305372,N,360
305751,N,379
306122,N,371
